[Kavita] [2025-03-05 12:44:19.427 +01:00  6] [Fatal] API.Program Running MigrateMangaFilePath migration - Completed. This is not an error
[Kavita] [2025-03-05 12:44:19.431 +01:00  6] [Fatal] API.Program Running MigrateLowestSeriesFolderPath migration - Please be patient, this may take some time. This is not an error
[Kavita] [2025-03-05 12:44:19.437 +01:00  6] [Fatal] API.Program Running MigrateLowestSeriesFolderPath migration - Completed. This is not an error
[Kavita] [2025-03-05 12:44:19.439 +01:00  6] [Fatal] API.Program Running ManualMigrateThemeDescription migration - Please be patient, this may take some time. This is not an error
[Kavita] [2025-03-05 12:44:19.443 +01:00  6] [Fatal] API.Program Running ManualMigrateThemeDescription migration - Completed. This is not an error
[Kavita] [2025-03-05 12:44:19.444 +01:00  6] [Fatal] API.Program Running MigrateInitialInstallData migration - Please be patient, this may take some time. This is not an error
[Kavita] [2025-03-05 12:44:19.448 +01:00  6] [Fatal] API.Program Running MigrateInitialInstallData migration - Completed. This is not an error
[Kavita] [2025-03-05 12:44:19.450 +01:00  6] [Fatal] API.Program Running MigrateSeriesLowestFolderPath migration - Please be patient, this may take some time. This is not an error
[Kavita] [2025-03-05 12:44:19.462 +01:00  6] [Fatal] API.Program Running MigrateSeriesLowestFolderPath migration - Completed. This is not an error
[Kavita] [2025-03-05 12:44:19.464 +01:00  6] [Fatal] API.Program Running MigrateLowestSeriesFolderPath2 migration - Please be patient, this may take some time. This is not an error
[Kavita] [2025-03-05 12:44:19.465 +01:00  6] [Fatal] API.Program Running MigrateLowestSeriesFolderPath2 migration - Completed. This is not an error
[Kavita] [2025-03-05 12:44:19.468 +01:00  6] [Fatal] API.Program Running MigrateDuplicateDarkTheme migration - Please be patient, this may take some time. This is not an error
[Kavita] [2025-03-05 12:44:19.472 +01:00  6] [Fatal] API.Program Running MigrateDuplicateDarkTheme migration - Completed. This is not an error
[Kavita] [2025-03-05 12:44:19.473 +01:00  6] [Fatal] API.Program Running ManualMigrateUnscrobbleBookLibraries migration - Please be patient, this may take some time. This is not an error
[Kavita] [2025-03-05 12:44:19.477 +01:00  6] [Fatal] API.Program Running ManualMigrateUnscrobbleBookLibraries migration - Completed. This is not an error
[Kavita] [2025-03-05 12:44:19.479 +01:00  6] [Information] API.Program Running Migrations - complete
[Kavita] [2025-03-05 12:44:19.573 +01:00  1] [Information] API.Program Starting with base url as /
[Kavita] [2025-03-05 12:44:19.598 +01:00  1] [Information] Microsoft.Hosting.Lifetime Now listening on: http://[::]:5000
[Kavita] [2025-03-05 12:44:19.599 +01:00  1] [Information] API.Program Kavita - v0.8.4.2
[Kavita] [2025-03-05 12:44:19.603 +01:00  1] [Information] Microsoft.Hosting.Lifetime Application started. Press Ctrl+C to shut down.
[Kavita] [2025-03-05 12:44:19.603 +01:00  1] [Information] Microsoft.Hosting.Lifetime Hosting environment: Production
[Kavita] [2025-03-05 12:44:19.603 +01:00  1] [Information] Microsoft.Hosting.Lifetime Content root path: /kavita
[Kavita] [2025-03-05 12:44:20.186 +01:00  13] [Information] Serilog.AspNetCore.RequestLoggingMiddleware HTTP GET / responded 200 in 11.2128 ms
[Kavita] [2025-03-05 12:44:20.352 +01:00  4] [Information] Serilog.AspNetCore.RequestLoggingMiddleware HTTP GET /api/theme responded 200 in 47.2421 ms
[Kavita] [2025-03-05 12:44:20.402 +01:00  43] [Information] Serilog.AspNetCore.RequestLoggingMiddleware HTTP GET /api/admin/exists responded 200 in 21.7886 ms
[Kavita] [2025-03-05 12:44:20.447 +01:00  13] [Information] Serilog.AspNetCore.RequestLoggingMiddleware HTTP GET /api/admin/exists responded 200 in 2.5090 ms
[Kavita] [2025-03-05 12:44:30.885 +01:00  44] [Information] Serilog.AspNetCore.RequestLoggingMiddleware HTTP POST /api/account/register responded 200 in 269.5013 ms
[Kavita] [2025-03-05 12:44:30.923 +01:00  4] [Information] Serilog.AspNetCore.RequestLoggingMiddleware HTTP GET /api/admin/exists responded 200 in 3.9866 ms
